"","nest_id","feeding_ranef","feeding_ranef_sd","feeding_blups","feeding_expontd_blups"
"1","cooks 18",0.0166868272380104,0.18165959224443,1.60076831723246,4.95683938684986
"2","cooks 6",0.17366615365999,0.192659271354981,1.75774764365444,5.79936044665564
"3","grizz 102",-0.026677128208898,0.18667485969091,1.55740436178555,4.74648508389009
"4","grizz 114",0.0230044677167978,0.18361650779435,1.60708595771125,4.98825404477774
"5","grizz 123",0.214946029394307,0.18167631614227,1.79902751938876,6.04376715925374
"6","grizz 139",-0.102943058801772,0.192432726243324,1.48113843119268,4.39794959507519
"7","grizz 140",0.372721452478408,0.187420010815787,1.95680294247286,7.07666635122993
"8","grizz 151",0.0288380289078254,0.216190258713566,1.61291951890227,5.01743837149932
"9","grizz 154",-0.0556642693621703,0.199091836115352,1.52841722063228,4.6108730489646
"10","grizz 156",-0.0783598826496832,0.189100517195317,1.50572160734477,4.50740503360722
"11","grizz 161",-0.0805638252885515,0.204538487035545,1.5035176647059,4.49748191047678
"12","grizz 46",-0.00752814550430161,0.192452463819801,1.57655334449015,4.83825125500265
"13","grizz 54",0.148496113272492,0.178850812784942,1.73257760326694,5.65521203084192
"14","grizz 6",0.0639518813242444,0.184860929002437,1.64803337131869,5.19674969404254
"15","grizz 61",0.0748191698264142,0.187669473114251,1.65890065982086,5.25353224962374
"16","grizz 68",-0.0486061051879872,0.18513866682795,1.53547538480646,4.64353247012409
"17","grizz 86",-0.124501601224577,0.188355720542602,1.45957988876987,4.30415092632448
"18","hoops 11",-0.297368354632621,0.188110507029915,1.28671313536183,3.62086567996945
"19","hoops 2",0.318944559714975,0.198562741515303,1.90302604970942,6.70615693340432
"20","schaaps 110",0.0921462646395136,0.200268828936732,1.67622775463396,5.34535390500484
"21","schaaps 24",-0.168171876690653,0.180024592512925,1.4159096133038,4.12023258032704
"22","schaaps 59",-0.0589850945098934,0.176118907465933,1.52509639548455,4.59558654174758
"23","schaaps 71",-0.243111895893313,0.205132817576947,1.34096959410114,3.82274822316714
"24","schaaps 74",0.0379518486183439,0.185062753822824,1.62203333861279,5.06337541321693
"25","schaaps 98",-0.206618587063316,0.185338407459627,1.37746290293113,3.96482969836017
